유형,어휘,뜻풀이
관용구,가슴을 찢다,슬픔이나 분함 때문에 가슴이 째지는 듯한 고통을 주다.
관용구,간도 쓸개도 없다,용기나 줏대 없이 남에게 굽히다.
관용구,경종을 울리다,잘못이나 위험을 미리 경계하여 주의를 환기시키다.
관용구,귀에 못이 박히다,같은 말을 여러 번 듣다. = 귀에 딱지가 앉다.
관용구,깨가 쏟아지다,몹시 아기자기하고 재미가 나다.
관용구,나발을 불다,당치 않은 말을 함부로 하다.
관용구,눈먼 돈,"임자 없는 돈, 우연히 생긴 공돈."
관용구,눈에 밟히다,잊히지 않고 눈에 자꾸 떠오르다.
관용구,눈에 아른거리다,어떤 사람이나 일 따위에 관한 기억이 떠오르다.
관용구,닭 물 먹듯,무슨 일이든 그 내용도 모르고 건성으로 넘기는 모양.
관용구,된서리를 맞다,모진 재앙이나 억압을 당하다.
관용구,발꿈치를 물리다,은혜를 베풀어 준 상대로부터 뜻밖에 해를 입다.
관용구,발목을 잡다,어떤 일에 꽉 잡혀서 벗어나지 못하게 하다.
관용구,발이 길다,음식 먹는 자리에 우연히 가게 되어 먹을 복이 있다.
관용구,베개를 높이 베다,안심하고 편안하게 푹 자거나 태평스럽게 지내다.
관용구,변죽을 울리다,바로 집어 말을 하지 않고 둘러서 말을 하다.
관용구,상투를 잡다,가장 높은 시세에 주식을 매입하다.
관용구,생사람을 잡다,아무 잘못이나 관계가 없는 사람을 헐뜯거나 죄인으로 몰다.
관용구,서릿발을 맞다,권력 따위에 의하여 피해를 입다.
관용구,서릿밧을 이다,머리카락이 하얗게 세다.
관용구,서릿발이 서다,땅거죽에 가늘고 긴 얼음 줄기의 묶음이 생기다 / 서릿발처럼 준엄하고 매서운 기운이 있다.
관용구,서릿발이 차다,서릿발이 생기다 / 기세가 매우 매섭고 준엄하다.
관용구,손사래를 치다,거절이나 부인을 하며 손을 펴서 마구 휘젓다.
관용구,지휘봉을 잡다,어떤 무리나 조직의 우두머리가 되다.
관용구,초로와 같다,인생 따위가 덧없다.
관용구,침 발라 놓다,자기 소유임을 표시하다.
관용구,침이 마르다,다른 사람이나 물건에 대하여 거듭해 말하다.
관용구,토를 달다,어떤 말 끝에 그 말에 대하여 덧붙여 말하다.
관용구,피가 마르다,몹시 괴롭거나 애가 타다.
관용구,피를 토하다,격렬한 의분을 터뜨리다.

