유형,어휘,뜻풀이
고유어,가납사니,쓸데없는 말을 지껄이기 좋아하는 수다스러운 사람.
고유어,가년스럽다,보기에 가난하고 어려운 데가 있다.
고유어,가름하다,승부나 등수 따위를 정하다.
고유어,가멸다,재산이나 자원 따위가 넉넉하고 많다.
고유어,가뭇없다,보이던 것이 전혀 보이지 않아 찾을 곳이 감감하다.
고유어,갈마들다,서로 번갈아들다.
고유어,갈음하다,다른 것으로 바꾸어 대신하다.
고유어,개평,노름이나 내기 따위에서 남이 가지게 된 몫에서 조금 얻어 가지는 공것.
고유어,객쩍다,"행동이나 말, 생각이 쓸데없고 싱겁다."
고유어,걸터들이다,이것저것 가리지 않고 휘몰아 들이다.
고유어,겨를,어떤 일을 하다가 생각 따위를 다른 데로 돌릴 수 있는 시간적인 여유.
고유어,결딴나다,어떤 일이나 물건 따위가 아주 망가져서 도무지 손을 쓸 수 없게 된 상태 / 살림이 망하여 거덜 난 상태.
고유어,고삭부리,음식을 많이 먹지 못하는 사람 / 몸이 약해서 늘 병치레를 하는 사람.
고유어,고샅,시골 마을의 좁은 골목길 또는 골목 사이.
고유어,곰비임비,물건이 거듭 쌓이거나 일이 계속 일어남.
고유어,괜히,아무 까닭이나 실속이 없게. = 공연히.
고유어,구듭,귀찮고 힘든 남의 뒤치다꺼리
고유어,구쁘다,배 속이 허전하여 자꾸 먹고 싶다.
고유어,그득하다,분량이나 수효 따위가 어떤 범위나 한도에 아주 꽉 찬 상태 / 냄새나 빛 따위가 넓은 공간에 널리 퍼져 있음.
고유어,글피,모레의 다음 날.
고유어,깨단하다,오랫동안 생각해 내지 못하던 일 따위를 어떠한 실마리로 말미암아 깨닫거나 분명히 알다.
고유어,께름칙하다,마음에 걸려서 언짢고 싫은 느낌이 꽤 있다.
고유어,끌밋하다,모양이나 차림새 따위가 매우 깨끗하고 훤칠하다.
고유어,너나들이,서로 너니 나니 하고 부르며 허물없이 말을 건넴. 또는 그런 사이.
고유어,너울가지,남과 잘 사귀는 솜씨. 붙임성이나 포용성.
고유어,널브러지다,너저분하게 흐트러지거나 흩어짐 / 몸에 힘이 빠져 몸을 추스르지 못하고 축 늘어짐.
고유어,늦되다,곡식이나 열매 따위가 제철보다 늦게 익음 / 나이에 비하여 발육이 늦거나 철이 늦게 듦.
고유어,다따가,난데없이 갑자기
고유어,다락같이,물건값이 매우 비싸게 / 덩치나 규모 정도가 매우 크고 심하게
고유어,닦달하다,남을 단단히 윽박질러서 혼을 내다.
고유어,단출하다,일이나 차림차림이 간편함.
고유어,달포,한 달이 조금 넘는 기간.
고유어,대근하다,견디기가 어지간히 힘들고 만만하지 않다.
고유어,더뻑거리다,앞뒤를 헤아리지 않고 자꾸 불쑥불쑥 행동하다.
고유어,데면데면,사람을 대하는 태도가 친밀감이 없이 예사로운 모양 / 성질이 꼼꼼하지 않아 행동이 신중하거나 조심스럽지 않은 모양.
고유어,도두보다,실상보다 좋게 보다.
고유어,때맞다,때가 늦지도 이르지도 않게 꼭 알맞다.
고유어,마뜩하다,제법 마음에 들 만하다.
고유어,막놓다,노름에서 몇 판에 걸쳐서 잃은 돈의 액수를 합쳐서 한 번에 걸고 다시 내기를 하다.
고유어,만무방,염치가 없이 막된 사람.
