유형,어휘,뜻풀이
순화어,가두,길거리
순화어,가료,치료
순화어,가불,임시 지급
순화어,간선 도로,"주요 도로, 중심 도로"
순화어,갈라 쇼,뒤풀이 공연
순화어,고로케,크로켓
순화어,고수부지,둔치
순화어,곤조,근성
순화어,그랑프리,최우수상
순화어,내비게이션,"길도우미, 길안내기"
순화어,네티즌,누리꾼
순화어,노견,"길가, 갓길"
순화어,다이어트,식이요법
순화어,더치페이,각자 내기
순화어,레시피,조리법
순화어,로고송,상징노래
순화어,로하스,친환경살이
순화어,리메이크,재구성
순화어,리플,댓글
순화어,마스터 플랜,"종합 계획, 기본 계획"
순화어,마일리지,이용실적점수
순화어,발레 파킹,대리주차
순화어,보이스피싱,사기전화
순화어,브랜드 파워,상표경쟁력
순화어,스크린 도어,안전문
순화어,소셜 네트워크 서비스,누리소통망
순화어,소셜 커머스,공동 할인구매
순화어,인터체인지,나들목
순화어,쿠사리,"면박, 핀잔"
순화어,패키지 상품,꾸러미상품
순화어,플랫 슈즈,납작구두
순화어,하명,"명령, 지시"
순화어,할증료,웃돈
순화어,홀대,푸대접

