유형,어휘,뜻풀이
속담,가갸 뒷다리도 모른다,"글자를 전혀 깨치지 못하여 무식하거나, 사리에 몹시 어두운 사람을 놀림조로 이르는 말."
속담,가게 기둥에 입춘이라,제 격에 맞지 않음.
속담,가는 날이 장날이다,어떤 일을 하려고 하는데 뜻하지 않은 일을 공교롭게 당함.
속담,가뭄에 콩 나듯 한다,어떤 일이나 물건이 드문드문 있음.
속담,가을 중 싸대듯,수확이 많은 가을철에 중이 바쁘게 돌아다닌다는 뜻. 여기저기 분주히 돌아다님을 비유적으로 이르는 말.
속담,개구리 낯짝에 물 붓기,어떤 자극을 주어도 그 자극이 조금도 먹혀들지 아니하거나 어떤 처사를 당하여도 태연함을 이르는 말.
속담,개 머루 먹듯,참맛도 모르면서 바삐 먹어 치우는 것 / 내용이 틀리거나 말거나 일을 건성건성 날려서 함.
속담,개밥에 도토리,따돌림을 받아서 여럿의 축에 끼지 못하는 사람.
속담,꾸어다 놓은 보릿자루,여럿이 모여 이야기하는 자리에서 아무 말도 하지 않고 한옆에 가만히 있는 사람을 비유적으로 이르는 말.
속담,눈 가리고 아웅 한다,얕은 수로 남을 속이려 한다는 말.
속담,눈 감고 따라간다,아무 생각 없이 맹목적으로 뒤따르는 것.
속담,눈 뜨고 코 베어간다,뻔히 알면서도 피해를 당하는 험악한 세상이라는 말.
속담,달도 차면 기운다,세상의 온갖 것이 한번 번성하면 다시 쇠하기 마련이라는 말.
속담,동냥은 못 줘도 쪽박은 깨지 마라,남을 도와주지는 못할망정 방해는 하지 말라는 말.
속담,마른논에 물 대기,일이 매우 힘들거나 힘들여 해 놓아도 성과가 없는 경우를 이르는 말.
속담,말로 온 동네 다 겪는다,말로만 남을 대접하는 체한다는 말.
속담,망건 쓰고 세수한다,일의 순서를 바꾸어 함을 놀림조로 이르는 말.
속담,맑은 물에 고기 안 논다,사람이 지나치게 결백하면 남이 따르지 않음.
속담,물이 깊을수록 소리가 없다,덕이 높고 깊은 사람은 겉으로 떠벌리고 잘난 체하거나 뽐내지 않는다는 말.
속담,미꾸라짓국 먹고 용트림한다,시시한 일을 해 놓고 큰일을 한 것처럼 으스대는 것.
속담,바늘 구멍에 황소 바람 들어온다,작은 것이라도 때에 따라서는 소홀히 하여서는 안 됨.
속담,비 오는 날 소꼬리 같다,몹시 귀찮게 구는 것을 비유적으로 이르는 말.
속담,선무당이 사람 잡는다,능력이 없어서 제구실을 못하면서 함부로 하다가 큰일을 저지르게 됨.
속담,손 안 대고 코 풀기,일을 힘 안 들이고 아주 쉽게 해치움.
속담,썩어도 준치,본래 좋고 훌륭한 것은 비록 상해도 그 본질에는 변함이 없음.
속담,우물에 가 숭늉을 찾는다,일의 순서도 모르고 성급히 덤빈다는 뜻.
속담,우선 먹기는 곶감이 달다,앞일은 생각해 보지도 아니하고 당장 좋은 것만 취하는 경우.
속담,호미로 막을 것을 가래로 막는다,적은 힘으로 충분히 처리할 수 있는 일에 쓸데없이 많은 힘을 들이는 경우.
속담,평안 감사도 저 싫으면 그만이다,아무리 좋은 일이라도 제 마음에 들지 않으면 억지로 시키기 힘든다는 말.
속담,하늘로 호랑이 잡기,온갖 권력을 다 가지고 있어 못하는 일이 없음.
속담,빈대 미워 집에 불 놓는다,손해를 크게 볼 것을 생각지 아니하고 자기에게 마땅치 아니한 것을 없애려 덤비는 경우를 비유적으로 이르는 말.
속담,다 된 농사에 낫 들고 덤빈다,일이 다 끝난 뒤에 쓸데없이 참견하고 나서는 경우.
속담,차돌에 바람 들면 석돌보다 못하다,오달진 사람일수록 한 번 타락하면 걷잡을 수 없게 된다는 말.
속담,타고난 재주 사람마다 하나씩은 있다,사람은 누구나 한 가지씩의 재주는 가지고 있어서 그것으로 먹고 산다는 말.
속담,하나는 열을 꾸려도 열은 하나를 못 꾸린다,"한 사람이 여러 사람을 돌보는 것은 가능하지만, 여러 사람이 한 사람을 돌보기는 어렵다는 말."
속담,비 온 뒤에 땅이 굳어진다,시련을 겪은 뒤에 더 강해진다는 뜻.
속담,욕심이 사람 죽인다,지나친 욕심이 화를 부른다는 말.
속담,다 가도 문턱 못 넘기,애써 일을 해도 끝맺음을 못해 보람이 없는 경우.
속담,두 소경 한 막대 짚고 걷는다,어리석은 두 사람이 같은 잘못을 저지르는 경우.
속담,바늘구멍으로 코끼리를 몰라 한다,불가능한 일을 억지로 하려는 경우.
속담,토끼 둘을 잡으려다가 하나도 못 잡는다,욕심을 부리면 결국 아무것도 이루지 못한다는 말.
속담,언 발에 오줌 누기,임시변통은 될지 몰라도 결국 상황이 더 나빠짐을 비유.
속담,떼어 놓은 당상,일이 확실하여 틀림이 없음을 비유.
속담,시루에 물 퍼붓기,아무리 노력해도 효과가 없는 경우.
속담,단김에 소뿔 빼기,일은 망설이지 말고 기세 있을 때 해야 함을 비유.
속담,원님 덕에 나팔 불기,남의 덕으로 부당한 대접을 받거나 으스대는 모양을 비유.

