유형,정답,오답
외래어,악센트,액센트
외래어,액센트,악세사리
외래어,액세서리,엔젤
외래어,악세사리,엘레베이터
외래어,에인절,악셀러레이터
외래어,엔젤,뱃지
외래어,엘리베이터,바베큐
외래어,엘레베이터,바디랭기지
외래어,액셀러레이터,카운셀링
외래어,악셀러레이터,가디건
외래어,배지,카스테라
외래어,뱃지,카페라떼
외래어,바비큐,카달로그
외래어,바베큐,카라멜
외래어,보디랭귀지,카페트
외래어,바디랭기지,컴팩트
외래어,카운슬링,컨셉트
외래어,카운셀링,컨텐츠
외래어,카디건,컨닝
외래어,가디건,런닝
외래어,카스텔라,아이섀도우
외래어,카스테라,앵콜
외래어,카페라테,앙케이트
외래어,카페라떼,스프
외래어,카탈로그,수퍼마켓
외래어,카달로그,후레쉬
외래어,캐러멜,플룻
외래어,카라멜,화이바
외래어,카펫,프리지아
외래어,카페트,프리젠테이션
외래어,콤팩트,프론티어
외래어,컴팩트,헐리우드
외래어,콘셉트,라이센스
외래어,컨셉트,매니아
외래어,콘텐츠,넌센스
외래어,컨텐츠,아울렛
외래어,커닝,팜플렛
외래어,컨닝,팬더
외래어,러닝,레파토리
외래어,런닝,레포트
외래어,아이섀도,로얄
외래어,아이섀도우,샷시
외래어,앙코르,소세지
외래어,앵콜,쇼파
외래어,앙케트,심볼
외래어,앙케이트,토탈
외래어,수프,발렌타인데이
외래어,스프,워크샵
외래어,슈퍼마켓,가스렌지
외래어,수퍼마켓,카톨릭
외래어,플래시,기브스
외래어,후레쉬,옐로우
외래어,플루트,카달로그
외래어,플룻,크리스탈
외래어,파이버,타겟
외래어,화이바,알콜
외래어,프리지어,푸켓
외래어,프리지아,로스엔젤레스

